Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
39364796,"Eating NAFTA: Trade, Food Policies, and the Destruction of Mexico",Alyshia Gálvez,"Gálvez, Alyshia",,"=""0520965442""","=""9780520965447""",0,4.37,University of California Press,ebook,288,2018,,,2023/12/31,to-read,to-read (#15),to-read,,,,0,0
169213,I Am a Fugitive from a Georgia Chain Gang!,Robert Elliott Burns,"Burns, Robert Elliott",Matthew Mancini,"=""0820319430""","=""9780820319438""",0,3.95,University of Georgia Press,Paperback,257,1997,1932,,2023/12/31,to-read,to-read (#14),to-read,,,,0,0
97820,Free to Choose: A Personal Statement,Milton Friedman,"Friedman, Milton",Rose Friedman,"=""0156334607""","=""9780156334600""",0,4.22,Harcourt,Paperback,356,1990,1980,,2023/12/31,to-read,to-read (#13),to-read,,,,0,0
51877,Capitalism and Freedom,Milton Friedman,"Friedman, Milton",,"=""0226264211""","=""9780226264219""",0,3.91,University of Chicago Press,Paperback,208,2002,1962,,2023/12/31,to-read,to-read (#12),to-read,,,,0,0
7410,A Monetary History of the United States 1867-1960,Milton Friedman,"Friedman, Milton",Anna Jacobson Schwartz,"=""0691003548""","=""9780691003542""",0,4.01,Princeton University Press,Paperback,888,1971,1963,,2023/12/31,to-read,to-read (#11),to-read,,,,0,0
8666621,Fundamentals of Clinical Trials,Lawrence M. Friedman,"Friedman, Lawrence M.","Curt D. Furberg, David L. DeMets","=""1441915850""","=""9781441915856""",0,4.00,Springer,Paperback,445,2010,1981,,2023/12/31,to-read,to-read (#10),to-read,,,,0,0
7139,Crime and Punishment in American History,Lawrence M. Friedman,"Friedman, Lawrence M.",,"=""0465014879""","=""9780465014873""",0,3.89,Basic Books,Paperback,590,1994,1993,,2023/12/31,to-read,to-read (#9),to-read,,,,0,0
814372,Law in America: A Short History (Modern Library Chronicles),Lawrence M. Friedman,"Friedman, Lawrence M.",,"=""0812972856""","=""9780812972856""",0,3.63,Modern Library,Paperback,224,2004,2002,,2023/12/31,to-read,to-read (#8),to-read,,,,0,0
151887,A History of American Law,Lawrence M. Friedman,"Friedman, Lawrence M.",,"=""0684869888""","=""9780684869889""",0,4.11,Touchstone,Paperback,620,2005,1973,,2023/12/31,to-read,to-read (#7),to-read,,,,0,0
3220846,"Family and Community in Early Modern Spain: The Citizens of Granada, 1570–1739 (New Studies in European History)",James Casey,"Casey, James",,"=""0521855896""","=""9780521855891""",0,0.0,Cambridge University Press,Hardcover,330,2007,2006,,2023/12/26,"history, spain, family, to-read","history (#1), spain (#1), family (#1), to-read (#6)",to-read,,,,0,0
87656,Globalization and Its Discontents,Saskia Sassen,"Sassen, Saskia",,"=""1565845188""","=""9781565845183""",0,3.84,"New Press, The",Paperback,253,1999,1998,,2023/12/29,to-read,to-read (#5),to-read,,,,0,0
18736926,Expulsions: Brutality and Complexity in the Global Economy,Saskia Sassen,"Sassen, Saskia",,"=""0674599225""","=""9780674599222""",0,3.99,Belknap Press: An Imprint of Harvard University Press,Hardcover,304,2014,2014,,2023/12/29,to-read,to-read (#4),to-read,,,,0,0
572556,"The Global City: New York, London, Tokyo.",Saskia Sassen,"Sassen, Saskia",,"=""0691070636""","=""9780691070636""",0,3.75,Princeton University Press,Paperback,480,2001,1991,,2023/12/29,to-read,to-read (#3),to-read,,,,0,0
470768,American Law in the Twentieth Century,Lawrence M. Friedman,"Friedman, Lawrence M.",,"=""0300102992""","=""9780300102994""",0,3.80,Yale University Press,Paperback,722,2004,2002,,2023/12/28,currently-reading,currently-reading (#1),currently-reading,,,,1,0
33657984,"Inventing American Exceptionalism: The Origins of American Adversarial Legal Culture, 1800-1877",Amalia D. Kessler,"Kessler, Amalia D.",,"=""""","=""""",0,3.50,Yale University Press,Kindle Edition,464,2017,,,2023/12/26,to-read,to-read (#2),to-read,,,,0,0
2087189,The European Family: An Historico-Anthropological Essay (Making of Europe),Jack Goody,"Goody, Jack",,"=""0631201564""","=""9780631201564""",0,3.52,Wiley-Blackwell,Hardcover,224,1999,2000,,2023/12/26,to-read,to-read (#1),to-read,,,,0,0
